data,hora,radiacao_global
2023-02-16,1300 UTC,
2023-02-16,1400 UTC,
2023-02-16,1500 UTC,
2023-02-16,1600 UTC,
2023-02-16,1700 UTC,
2023-02-16,1800 UTC,
2023-02-16,1900 UTC,
2023-02-16,2000 UTC,
2023-02-16,2100 UTC,
2023-02-16,2200 UTC,
2023-02-17,1000 UTC,
2023-02-17,1100 UTC,
2023-02-17,1200 UTC,
2023-02-17,1300 UTC,
2023-02-17,1400 UTC,
2023-02-17,1500 UTC,
2023-02-17,1600 UTC,
2023-02-17,1700 UTC,
2023-02-17,1800 UTC,
2023-02-17,1900 UTC,
2023-02-17,2000 UTC,1648.0
2023-02-17,2100 UTC,
2023-02-17,2200 UTC,
2023-02-18,1000 UTC,
2023-02-18,1100 UTC,
2023-02-18,1200 UTC,
2023-02-18,1300 UTC,370.0
2023-02-18,1400 UTC,
2023-02-18,1500 UTC,
2023-02-18,1600 UTC,
2023-02-18,1700 UTC,1360.0
2023-02-18,1800 UTC,
2023-02-18,1900 UTC,1767.0
2023-02-18,2000 UTC,
2023-02-18,2100 UTC,
2023-02-18,2200 UTC,47.0
2023-02-19,1000 UTC,
2023-02-19,1100 UTC,
2023-02-19,1200 UTC,
2023-02-19,1300 UTC,
2023-02-19,1400 UTC,
2023-02-19,1500 UTC,
2023-02-19,1600 UTC,3247.0
2023-02-19,1700 UTC,3095.0
2023-02-19,1800 UTC,
2023-02-19,1900 UTC,
2023-02-19,2000 UTC,
2023-02-19,2100 UTC,
2023-02-19,2200 UTC,104.0
2023-02-20,1000 UTC,
2023-02-20,1100 UTC,
2023-02-20,1200 UTC,
2023-02-20,1300 UTC,
2023-02-20,1400 UTC,
2023-02-20,1500 UTC,
2023-02-20,1600 UTC,
2023-02-20,1700 UTC,
2023-02-20,1800 UTC,
2023-02-20,1900 UTC,
2023-02-20,2000 UTC,
2023-02-20,2100 UTC,
2023-02-20,2200 UTC,
2023-02-21,1000 UTC,
2023-02-21,1100 UTC,
2023-02-21,1200 UTC,
2023-02-21,1300 UTC,
2023-02-21,1400 UTC,
2023-02-21,1500 UTC,
2023-02-21,1600 UTC,
2023-02-21,1700 UTC,
2023-02-21,1800 UTC,
2023-02-21,1900 UTC,
2023-02-21,2000 UTC,
2023-02-21,2100 UTC,
2023-02-21,2200 UTC,
2023-02-22,1000 UTC,
2023-02-22,1100 UTC,
2023-02-22,1200 UTC,
2023-02-22,1300 UTC,
2023-02-22,1400 UTC,
2023-02-22,1500 UTC,
2023-02-22,1600 UTC,
2023-02-22,1700 UTC,
2023-02-22,1800 UTC,
2023-02-22,1900 UTC,1716.0
2023-02-22,2000 UTC,
2023-02-22,2100 UTC,
2023-02-22,2200 UTC,0.0
2023-02-23,1000 UTC,51.0
2023-02-23,1100 UTC,
2023-02-23,1200 UTC,
2023-02-23,1300 UTC,
2023-02-23,1400 UTC,
2023-02-23,1500 UTC,
2023-02-23,1600 UTC,
2023-02-23,1700 UTC,
2023-02-23,1800 UTC,
2023-02-23,1900 UTC,348.0
2023-02-23,2000 UTC,
2023-02-23,2100 UTC,
2023-02-23,2200 UTC,
2023-02-24,1000 UTC,
2023-02-24,1100 UTC,
2023-02-24,1200 UTC,
2023-02-24,1300 UTC,
2023-02-24,1400 UTC,
2023-02-24,1500 UTC,
2023-02-24,1600 UTC,
2023-02-24,1700 UTC,
2023-02-24,1800 UTC,
2023-02-24,1900 UTC,
2023-02-24,2000 UTC,
2023-02-24,2100 UTC,
2023-02-24,2200 UTC,
2023-02-25,1000 UTC,
2023-02-25,1100 UTC,
2023-02-25,1200 UTC,1830.0
2023-02-25,1300 UTC,
2023-02-25,1400 UTC,
2023-02-25,1500 UTC,
2023-02-25,1600 UTC,
2023-02-25,1700 UTC,
2023-02-25,1800 UTC,
2023-02-25,1900 UTC,
2023-02-25,2000 UTC,
2023-02-25,2100 UTC,
2023-02-25,2200 UTC,
2023-02-26,1000 UTC,
2023-02-26,1100 UTC,
2023-02-26,1200 UTC,
2023-02-26,1300 UTC,
2023-02-26,1400 UTC,
2023-02-26,1500 UTC,
2023-02-26,1600 UTC,
2023-02-26,1700 UTC,
2023-02-26,1800 UTC,
2023-02-26,1900 UTC,
2023-02-26,2000 UTC,
2023-02-26,2100 UTC,
2023-02-26,2200 UTC,
2023-02-27,1000 UTC,158.0
2023-02-27,1100 UTC,
2023-02-27,1200 UTC,
2023-02-27,1300 UTC,
2023-02-27,1400 UTC,
2023-02-27,1500 UTC,
2023-02-27,1600 UTC,
2023-02-27,1700 UTC,
2023-02-27,1800 UTC,3249.0
2023-02-27,1900 UTC,
2023-02-27,2000 UTC,1780.0
2023-02-27,2100 UTC,
2023-02-27,2200 UTC,
2023-02-28,1000 UTC,
2023-02-28,1100 UTC,
2023-02-28,1200 UTC,1885.0
2023-02-28,1300 UTC,
2023-02-28,1400 UTC,2869.0
2023-02-28,1500 UTC,
2023-02-28,1600 UTC,
2023-02-28,1700 UTC,
2023-02-28,1800 UTC,
2023-02-28,1900 UTC,
2023-02-28,2000 UTC,
2023-02-28,2100 UTC,
2023-02-28,2200 UTC,
2023-03-01,1000 UTC,
2023-03-01,1100 UTC,
2023-03-01,1200 UTC,
2023-03-01,1300 UTC,
2023-03-01,1400 UTC,
2023-03-01,1500 UTC,
2023-03-01,1600 UTC,
2023-03-01,1700 UTC,
2023-03-01,1800 UTC,
2023-03-01,1900 UTC,
2023-03-01,2000 UTC,
2023-03-01,2100 UTC,
2023-03-01,2200 UTC,
2023-03-02,0000 UTC,
2023-03-02,1000 UTC,
2023-03-02,1100 UTC,
2023-03-02,1200 UTC,
2023-03-02,1300 UTC,
2023-03-02,1400 UTC,
2023-03-02,1500 UTC,
2023-03-02,1600 UTC,
2023-03-02,1700 UTC,
2023-03-02,1800 UTC,
2023-03-02,1900 UTC,
2023-03-02,2000 UTC,
2023-03-02,2100 UTC,
2023-03-02,2200 UTC,
2023-03-03,1000 UTC,
2023-03-03,1100 UTC,
2023-03-03,1200 UTC,
2023-03-03,1300 UTC,
2023-03-03,1400 UTC,
